name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S2_Female_sentence_09.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S2_Female_sentence_09.wav	0.6300000000000004	0.6350000000000005	--undefined--	-200	62.18273419985595	1514.9140235243271	2303.353308504282	3462.604437795034	4623.424146647524
S2_Female_sentence_09.wav	0.6350000000000005	0.6400000000000005	--undefined--	-200	63.103724855204604	1904.6789293741876	2927.1784919204815	3984.49826290973	5139.927860565283
S2_Female_sentence_09.wav	0.6400000000000005	0.6450000000000005	--undefined--	-200	63.22094800703181	1934.028846519775	2785.8218994297827	3844.611349384325	4956.3442602577
S2_Female_sentence_09.wav	0.6450000000000005	0.6500000000000005	--undefined--	-200	63.39184087222664	1884.3791649145019	2735.619770775302	3780.242068124184	4885.065858279623
S2_Female_sentence_09.wav	0.6500000000000005	0.6550000000000005	--undefined--	-200	64.96482359778216	1981.4851668421693	2633.6533902686333	3748.2015696002463	4975.927531987403
S2_Female_sentence_09.wav	0.6550000000000005	0.6600000000000005	--undefined--	-200	65.72059569557688	1901.7471719634302	2414.1622707328015	3564.5685844213826	4893.176355749871
S2_Female_sentence_09.wav	0.6600000000000005	0.6650000000000005	--undefined--	-200	65.38622807691787	1525.7709878716412	2176.767215337247	3298.744643050664	4467.036434030879
S2_Female_sentence_09.wav	0.6650000000000005	0.6700000000000005	--undefined--	-200	63.44738892974387	1961.229667127471	2645.658544948792	4172.547213373556	--undefined--
S2_Female_sentence_09.wav	0.6700000000000005	0.6750000000000005	--undefined--	-200	62.543060837237974	2139.3627474366854	2365.771552154935	2954.436918808512	4446.953795936114
S2_Female_sentence_09.wav	0.6750000000000005	0.6800000000000005	227.6930507586801	-200	63.99857982350896	2168.193396698142	2470.6461981310604	3323.8338933239493	4765.6146291311115
S2_Female_sentence_09.wav	0.6800000000000005	0.6850000000000005	227.6930507586801	-215.0372160279033	67.88767992298126	1555.3221919587909	2483.4070676719366	3750.6449475675577	4692.861209136332
S2_Female_sentence_09.wav	0.6850000000000005	0.6900000000000005	227.31513168378132	-64.18552718175255	72.79060795164519	235.73461826071437	1995.4257800134394	2743.740367333269	3840.365934687551
S2_Female_sentence_09.wav	0.6900000000000005	0.6950000000000005	224.53742648327753	17.58402160119857	76.8814933737564	237.2017876119618	2037.5931164761812	2780.4351232450126	3830.4961706137487
S2_Female_sentence_09.wav	0.6950000000000005	0.7000000000000005	221.75972128277377	13.100176561623906	79.7546564165032	239.60054582866817	1719.8507727945976	2792.0438341992412	3984.052963128395
S2_Female_sentence_09.wav	0.7000000000000005	0.7050000000000005	218.98201608227	12.941302529192306	81.4242206694229	239.640166762633	1524.3747147342842	2572.133443063141	4030.8373353827255
S2_Female_sentence_09.wav	0.7050000000000005	0.7100000000000005	216.20431088176628	12.463726987516656	82.31709554356212	236.3341020471136	1470.1015160165512	2353.860893273042	3986.431837156559
S2_Female_sentence_09.wav	0.7100000000000005	0.7150000000000005	213.57543399242732	13.071096801699806	82.91989528374788	229.64949393942214	1480.601571929605	2341.7388882867576	3909.8317764808453
S2_Female_sentence_09.wav	0.7150000000000005	0.7200000000000005	211.89161687898428	15.918216247055934	83.52397094375787	220.97344507912695	1450.4081936698963	2302.9959904899542	3811.2756447239726
S2_Female_sentence_09.wav	0.7200000000000005	0.7250000000000005	210.2077997655412	17.245496144445625	84.39394804506564	220.4906647875964	1513.790595998763	2414.291170308278	3875.766219866289
S2_Female_sentence_09.wav	0.7250000000000005	0.7300000000000005	208.52398265209814	18.78445487780342	85.29849022220283	220.69731324088977	1566.0877919790248	2411.403731735561	3750.1888230428744
